ms,degC
-20505,35.60
-18481,35.60
-16458,35.60
-14436,35.60
-12413,35.60
-10389,35.60
-8367,35.60
-6344,35.60
-4322,35.60
-2299,36.30
-276,36.30
1748,36.30
3772,36.30
5794,36.30
7817,36.30
9839,36.30
11862,36.30
13884,36.30
15908,36.30
17932,36.30
19954,36.40
21977,36.90
23999,36.90
26023,36.90
28046,36.90
30068,36.90
32091,36.90
-31421,36.90
-29399,36.90
-27376,36.90
-25354,36.90
-23329,36.90
-21307,36.90
-19284,36.90
-17262,36.90
-15238,36.90
-13215,36.90
-11193,37.00
-9170,37.40
-7147,37.40
-5123,37.40
-3099,37.40
-1076,37.40
947,37.40
2969,37.40
4992,37.40
7014,37.40
9036,37.40
11060,37.40
13084,37.40
15108,37.40
17130,37.40
19152,37.40
21175,37.40
23198,37.40
25223,37.40
27246,37.40
29268,37.40
31291,37.40
-32223,37.40
-30199,37.40
-28175,37.40
-26151,37.40
