ms,degC
-9613,36.30
-7589,36.30
-5567,36.30
-3545,36.30
-1522,36.30
502,36.30
2525,36.30
4547,36.30
6569,36.30
8592,36.40
10616,36.90
12639,36.90
14661,36.90
16684,36.90
18708,36.90
20730,36.90
22753,36.90
24775,36.90
26800,36.90
28822,36.90
30844,36.90
-32669,36.90
-30645,36.90
-28622,36.90
-26600,37.40
-24578,37.40
-22553,37.40
-20531,37.40
-18508,37.40
-16486,37.40
-14461,37.40
-12439,37.40
-10417,37.40
-8393,37.40
-6369,37.40
-4346,37.40
-2324,37.40
-302,37.40
1723,37.40
3746,37.40
5769,37.50
7791,37.40
9814,37.40
11838,37.50
13860,37.50
15883,37.60
17906,37.90
19929,38.00
21951,38.00
23973,38.00
25996,38.00
28018,38.00
30042,38.00
32065,38.00
-31447,38.00
-29423,38.00
-27400,38.00
-25377,38.00
-23355,38.00
-21332,38.00
-19310,38.00
-17288,38.00
-15264,38.00
-13241,38.00
-11216,38.00
-9193,38.00
-7170,38.00
-5146,38.00
-3124,38.00
-1101,38.00
921,38.00
2944,38.00
4966,38.00
