ms,degC
-32747,34.20
-30725,34.20
-28701,34.20
-26677,34.20
-24654,34.70
-22632,34.70
-20610,34.70
-18585,34.70
-16563,34.70
-14540,34.70
-12516,34.70
-10493,34.70
-8471,34.80
-6449,35.20
-4425,35.20
-2401,35.20
-378,35.20
1644,35.20
3666,35.20
5690,35.20
7714,35.40
9737,35.60
11759,35.60
13783,35.60
15805,35.60
17827,35.60
19850,35.60
21874,35.60
23897,35.60
25919,35.60
27943,35.60
29967,36.00
31989,36.30
-31524,36.30
-29502,36.30
-27477,36.30
-25454,36.30
-23432,36.30
-21409,36.30
-19387,36.30
-17362,36.30
-15340,36.30
-13318,36.30
-11295,36.40
-9272,36.80
-7247,36.90
-5225,36.90
-3203,36.90
-1180,36.90
844,36.90
2868,36.90
4890,36.90
6913,36.90
8935,36.90
10957,36.90
12982,36.90
15004,36.90
17027,36.90
19049,36.90
21071,36.90
23096,36.90
25118,36.90
27141,36.90
29163,36.90
31186,36.90
-32325,37.20
-30302,37.40
-28279,37.40
-26257,37.40
-24233,37.20
