ms,degC
-32717,36.30
-30693,36.30
-28670,36.30
-26648,36.40
-24626,36.40
-22601,36.40
-20579,36.60
-18556,36.90
-16532,36.90
-14510,36.90
-12487,36.90
-10463,36.90
-8440,36.90
-6418,36.90
-4393,36.90
-2371,36.90
-349,36.90
1674,36.90
3698,36.90
5721,36.90
7743,36.90
9767,36.90
11790,36.90
13812,36.90
15837,36.90
17859,36.90
19881,36.90
21906,36.90
23928,37.00
25951,37.30
27974,37.40
29997,37.40
32019,37.40
-31495,37.40
-29470,37.40
-27448,37.40
-25425,37.40
-23401,37.40
-21379,37.40
-19356,37.40
-17332,37.40
-15309,37.40
-13287,37.40
-11264,37.40
-9240,37.40
-7218,37.40
-5195,37.40
-3173,37.40
-1150,37.40
874,37.40
2896,37.40
4919,37.40
6941,37.40
8964,37.40
10988,37.40
13010,37.40
15033,37.40
17055,37.40
19080,37.40
21102,37.40
23124,37.40
25148,37.50
27170,37.50
29193,37.50
31216,37.50
-32297,37.60
-30275,37.80
-28252,37.80
-26228,37.80
-24206,37.80
-22183,37.80
-20161,37.80
-18139,37.80
-16115,37.80
-14091,37.80
-12067,37.80
-10045,37.80
-8023,37.80
-6000,37.80
-3978,37.80
-1955,37.80
68,37.80
2092,37.80
4116,37.80
6139,37.80
8163,37.80
10185,37.80
12208,37.80
14230,37.80
16252,37.80
18275,37.80
20298,37.80
22323,37.80
24346,37.80
26369,37.80
28391,37.80
