ms,degC
-24615,35.60
-22593,35.60
-20569,35.60
-18546,35.60
-16524,35.60
-14499,36.00
-12477,36.30
-10455,36.30
-8432,36.30
-6408,36.30
-4385,36.30
-2363,36.40
-340,36.50
1682,36.90
3706,36.90
5729,36.90
7751,36.90
9774,36.90
11798,36.90
13820,36.90
15843,36.90
17867,36.90
19890,36.90
21912,37.30
23934,37.40
25958,37.40
27982,37.40
30005,37.40
32027,37.40
-31486,37.40
-29462,37.40
-27439,37.40
-25416,37.40
-23394,37.40
-21371,37.40
-19347,37.40
-17325,37.40
-15302,37.40
-13280,37.40
-11256,37.50
-9233,37.40
-7210,37.50
-5188,37.90
-3165,38.00
-1140,38.00
883,38.00
2907,38.00
4930,38.00
6952,38.00
8975,38.00
10997,38.00
13020,38.00
15042,38.00
17065,38.00
19090,38.00
21113,38.00
23136,38.00
25158,38.00
27181,38.00
29203,38.00
31226,38.00
-32285,38.00
