ms,degC
-8817,36.30
-6795,36.30
-4772,36.30
-2750,36.30
-727,36.30
1297,36.30
3320,36.30
5345,36.30
7368,36.30
9392,36.30
11414,36.40
13436,36.40
15459,36.80
17481,36.90
19505,36.90
21529,36.90
23552,36.90
25574,36.90
27596,36.90
29621,36.90
31644,36.90
-31869,36.90
-29847,36.90
-27825,36.90
-25800,36.90
-23777,36.90
-21754,36.90
-19732,36.90
-17710,36.90
-15685,36.90
-13662,37.00
-11639,37.40
-9617,37.40
-7594,37.40
-5572,37.40
-3549,37.40
-1524,37.40
499,37.40
2523,37.40
4545,37.40
6567,37.40
8590,37.40
10612,37.40
12636,37.40
14660,37.40
16684,37.40
18706,37.40
20728,37.40
22751,37.40
24774,37.40
26799,37.40
28822,37.40
30844,37.40
-32669,37.50
-30647,37.50
-28622,37.40
-26600,37.50
-24578,37.50
-22555,37.50
-20531,37.80
-18507,38.00
-16484,38.00
-14460,38.00
-12438,38.00
-10416,38.00
-8393,38.00
-6371,38.00
-4348,38.00
-2326,38.00
-304,38.00
1719,38.00
3741,38.00
5764,38.00
7786,38.00
9808,38.00
11831,38.00
13853,38.00
15876,38.00
17900,38.00
